Name,RAdeg,DEdeg,Memb,Disk,Acc,K2var,umag,gmag,rmag,imag,Hamag,SpT,Avmag,Lbol,Mstar,Rstar,logAge,logMacc,DlogMacc+,DlogMacc-,Age_linear,Macc_linear,logMstar,c_value
WFI15636,271.1487,-24.41365,y,,2.0,,,18.863,17.376,16.65,16.915,K7.75,0.591,0.458,0.783,1.384,6.6,-9.459,0.309,,3981071.7055349695,3.4753616144320613e-10,-0.10623823794205658,-6.62487739623633
WFI15668,271.2334,-24.41318,y,,2.0,,,19.883,18.188,16.944,17.569,M2.5,0.729,0.56,0.294,2.13,5.73,-9.332,0.599,,537031.7963702533,4.6558609352295814e-10,-0.5316526695878427,-6.372045723022438
WFI15690,271.2399,-24.41294,y,y,1.0,,,19.95,18.291,17.266,17.31,G8.75,3.458,1.085,1.156,1.204,7.18,-8.126,0.174,0.408,15135612.484362071,7.481695005111553e-09,0.06295783408451022,-5.245728616943364
WFI15936,271.07584,-24.41072,y,n*,1.0,,,19.842,18.235,16.994,17.269,M2.5,0.651,0.517,0.296,2.045,5.79,-8.36,0.365,0.865,616595.0018614822,4.365158322401665e-09,-0.5287082889410615,-5.378725084960104
WFI15993,271.24432,-24.41009,y,y,1.0,,19.404,17.388,15.945,15.072,15.158,G7.25,2.761,5.244,1.956,2.552,6.52,-7.308,0.094,0.093,3311311.2148259077,4.920395356814511e-08,0.2913688504515826,-4.958666610739631
WFI16015,271.12223,-24.40988,y,y*,1.0,,,19.23,17.829,16.948,17.277,G2.75,4.054,2.925,1.436,1.749,6.98,-7.978,0.202,0.288,9549925.86021437,1.0519618738232235e-08,0.15715443990628153,-5.287011205494288
WFI16083,271.10488,-24.40907,y,n,1.0,,,20.104,18.403,17.054,17.658,M2.75,1.084,0.678,0.269,2.39,5.25,-8.634,0.425,,177827.94100389228,2.3227367963571053e-09,-0.5702477199975919,-5.827517130308806
WFI16133,271.05046,-24.40842,?,,1.0,,,18.617,17.243,16.46,16.728,G9,2.146,0.957,1.053,1.139,7.29,-8.941,0.457,,19498445.997580454,1.1455129414455337e-09,0.022428371185486493,-5.9694419504214284
WFI16191,271.07622,-24.40772,y,n*,1.0,,,19.135,17.635,16.79,17.16,K9.75,0.409,0.414,0.543,1.493,6.32,-9.211,0.52,,2089296.1308540408,6.151768727098677e-10,-0.265200170411153,-6.311322423599193
WFI16230,271.18763,-24.40718,y,n*,1.0,,,19.55,17.713,16.531,16.943,M1.5,1.415,1.218,0.339,2.906,5.11,-8.059,0.22,0.551,128824.95516931349,8.729713683881131e-09,-0.4698003017969178,-5.424237001223421
WFI16479,271.0627,-24.40449,y,n,1.0,,,18.549,17.224,16.581,16.005,K4.25,0.853,0.46,0.984,1.11,7.14,-8.273,0.145,0.148,13803842.646028839,5.333348954876213e-09,-0.007004901568658489,-5.3296572794235
WFI16587,271.13906,-24.40323,y,,1.0,,,20.018,18.409,17.406,17.811,G7.75,3.427,0.945,1.022,1.093,7.36,-8.67,0.473,,22908676.52767775,2.1379620895022324e-09,0.009450895798693935,-5.65491417053378
WFI16602,271.0501,-24.40309,y,,1.0,,,20.209,18.348,17.096,17.943,G5.25,4.879,3.34,1.594,1.964,6.82,-8.802,1.206,,6606934.480075965,1.57761126969935e-09,0.20248831706009357,-6.228314213934984
WFI16675,271.05373,-24.40243,y,n*,1.0,,,20.077,18.223,16.884,17.532,M2.25,1.334,0.838,0.3,2.556,5.24,-8.524,0.648,,173780.08287493762,2.9922646366081953e-09,-0.5228787452803376,-5.775465451512776
WFI16726,271.14001,-24.40185,y,n*,1.0,,,19.895,18.162,17.089,17.377,G9.5,3.635,1.421,1.269,1.406,7.05,-8.061,0.209,0.26,11220184.54301963,8.68960429286302e-09,0.10346162209470475,-5.2802084593146486
WFI16916,271.1075,-24.3998,y,n*,2.0,,20.007,17.796,16.342,15.578,15.88,K8.75,0.204,0.976,0.552,2.148,5.86,-9.412,0.745,,724435.9600749906,3.872576449216165e-10,-0.2580609222708011,-6.709550728232482
WFI17023,271.08342,-24.39894,y,y*,1.0,QPS,,,19.199,17.838,18.309,,,0.149,0.405,1.02,6.69,-9.32,0.072,,4897788.193684466,4.78630092322638e-10,-0.3925449767853314,-6.123475262242094
WFI17034,271.06179,-24.39888,y,,1.0,,,19.571,17.996,17.082,17.265,M0.5,0.372,0.321,0.484,1.385,6.37,-9.144,0.275,1.063,2344228.8153199228,7.177942912713615e-10,-0.31515463835558755,-6.166990850415223
